view1,view2,correspondences,formula_relative_error,camera_center_relative_residual,projected_point_sampson_max,projected_point_normalized_residual_max,rank_ratio,observation_sampson_median,transpose_sampson_median,lott_certified,lott_failures,hs_finite,both_finite,lott_cost_mean,hs_cost_mean,gap_mean,gap_abs_max,lott_normalized_residual_max,hs_normalized_residual_max
3,11,3,2.6220723711806489e-18,1.1129443982440207e-16,3.6462048240053531e-10,8.3319720131559659e-20,1.1906085235202671e-22,0.34920374559296469,13.317328708228233,3,0,3,3,1.1164054976498543,1.1164054976500102,-1.5577556605750331e-13,4.1655567883935873e-13,1.4328005576050122e-21,1.4328005576050131e-21
3,12,2,5.4782314645471117e-18,1.1129443982440207e-16,3.9745844616681414e-10,9.1359948904157576e-20,3.3288861119971574e-22,1.061877690038459,15.722592227076868,2,0,2,2,1.6803437201241636,1.6803437201240672,9.6443686370406567e-14,1.2301271112846734e-13,1.4536410959110307e-21,7.2682054795551535e-22
3,13,1,2.2216626500184628e-16,1.1129443982440207e-16,4.4206376889418103e-10,1.0349480557059692e-19,1.1946988803841235e-23,1.9845703606647174,14.799828944857294,1,0,1,1,3.9385033341749458,3.9385033341751163,-1.7053025658242404e-13,1.7053025658242404e-13,2.113717708548228e-21,7.0457256951607599e-22
3,14,1,8.65338729199103e-18,1.1129443982440207e-16,4.8714857978154967e-10,1.1529368194616852e-19,2.4643865285992127e-23,1.8808039616444381,20.434196942908322,1,0,1,1,3.5374068317655318,3.53740683176499,5.4178883601707639e-13,5.4178883601707639e-13,2.4982553130523216e-21,3.5689361615033171e-22
3,15,1,3.8720338825076864e-18,1.1129443982440207e-16,4.9809370913133428e-10,1.1730460625207894e-19,3.2522809958224378e-22,1.9529169350466968,24.941957292200616,1,0,1,1,3.813861983115562,3.813861983115344,2.1804780203638074e-13,2.1804780203638074e-13,3.6065845497658103e-22,0
3,16,1,1.1119755283010006e-16,1.1129443982440207e-16,4.2810514452101281e-10,1.0889830671886522e-19,2.3158782976368698e-22,1.7721747646858168,28.138159512031859,1,0,1,1,3.1405829555035334,3.140582955503743,-2.0961010704922955e-13,2.0961010704922955e-13,3.6400537459540592e-22,0
3,17,1,1.1115239443225094e-16,1.1129443982440207e-16,3.1391371956382878e-10,1.2694718258994667e-19,3.9128475236880292e-23,1.4864644874840658,29.001777029509181,1,0,1,1,2.2095621500632179,2.2095621500631251,9.2814644858663087e-14,9.2814644858663087e-14,7.3295099224405085e-22,7.3295099224405094e-22
3,18,1,1.1105390466528049e-16,1.1129443982440207e-16,3.2899773888548633e-10,1.2847258578960562e-19,6.5930047519038443e-23,1.2028091967772552,26.892324367019341,1,0,1,1,1.4467408875327417,1.4467408875325798,1.6187051699034782e-13,1.6187051699034782e-13,1.8396403665423164e-22,3.6792807330846347e-22
3,19,1,1.1102865640199417e-16,1.1129443982440207e-16,4.6676709525065663e-10,1.8711971076173534e-19,5.3291866378410363e-22,0.97442917616513069,21.439612699062302,1,0,1,1,0.94950672221530352,0.94950672221533439,-3.0864200084579352e-14,3.0864200084579352e-14,0,0
3,20,1,1.1103267277165593e-16,1.1129443982440207e-16,5.9917175355666886e-10,1.9414833792406467e-19,2.5761867660884698e-22,0.63107608886936761,12.291642015076038,1,0,1,1,0.39825540348118832,0.3982554034812858,-9.7477581562088744e-14,9.7477581562088744e-14,1.4707104387690407e-21,5.5151641453839039e-22
3,21,1,1.068003528273932e-18,1.1129443982440207e-16,1.3922481038258026e-09,6.4265203937465288e-19,1.3044978543489741e-24,0.34562516475673982,0.35825448917668956,1,0,1,1,0.11945648044628944,0.11945648044623382,5.5622173533720343e-14,5.5622173533720343e-14,7.3209020658438935e-22,0
4,5,229,2.1871654697772009e-15,8.4320711437581783e-17,1.6548732523797249e-08,1.8866930443879228e-17,3.1261839625648851e-23,0.12212088791315791,6.7592925485014268,229,0,229,229,0.05589492837443448,0.055894928374435056,-5.56384767430407e-16,1.6736612096224235e-13,5.6741809202137935e-20,6.303661426950441e-20
4,6,130,3.0213561761674571e-16,8.4320711437581783e-17,2.8813436007134336e-09,1.9550210241546938e-18,1.7321658430415214e-22,0.18402237518339171,11.581044101109178,130,0,130,130,0.12691170269392879,0.12691170269393515,-6.4013206387996617e-15,2.1271873151817999e-13,4.1864910756895919e-20,1.9838373022438182e-20
4,7,83,1.4667614142197069e-16,8.4320711437581783e-17,1.2857612016053933e-09,5.3047065327529076e-19,1.374853558211228e-23,0.24350156913244372,18.278802627054016,83,0,83,83,0.23414566660051095,0.2341456666005193,-8.334566133698056e-15,2.8421709430404007e-13,1.3393298199786395e-20,1.1212646859713118e-20
4,8,39,9.2975003701563321e-17,8.4320711437581783e-17,7.81491227830938e-10,2.3000771610006327e-19,2.1827111609153438e-22,0.38928305057314933,29.409029953292013,39,0,39,39,1.7737189624022336,1.773718962402234,-9.6318853000269933e-16,6.3238303482648917e-13,1.2477836683340526e-20,1.077738751445752e-20
4,9,12,1.7927039133122435e-16,8.4320711437581783e-17,4.019943765671944e-10,1.3276270840708458e-19,2.9433623059470937e-22,0.38487946582217308,23.116754137547737,12,0,12,12,0.39409056095567552,0.39409056095567724,-1.7477339020466331e-15,1.6919798895287386e-13,1.2797871619030162e-20,7.7605642873358967e-21
4,10,10,1.2562163190975559e-16,8.4320711437581783e-17,4.7039134332816382e-10,9.8416718387342243e-20,2.7533105585801966e-22,0.27097606043756206,23.084863943148267,10,0,10,10,0.43595942350460903,0.43595942350458616,2.2919513509300772e-14,3.6504133049675147e-13,7.0438074396786232e-21,3.7273689031098942e-21
4,11,4,1.182162802351037e-16,8.4320711437581783e-17,4.6244075107614909e-10,9.2545676945916642e-20,7.1050107424755931e-23,0.27254658628902717,16.77971206779435,4,0,4,4,0.63705417152729649,0.63705417152727473,2.1766795180525045e-14,1.1990408665951691e-13,2.1706133106057751e-21,1.8720009697052399e-21
4,12,2,2.044547268157592e-17,8.4320711437581783e-17,4.6247548626868913e-10,9.2840323350607322e-20,2.0513278407142485e-22,0.9188013124029426,19.660607149487802,2,0,2,2,1.2554070889224682,1.255407088922416,5.2027826491496398e-14,1.3766765505351941e-13,2.0998462943845795e-21,1.4681171229805127e-21
4,13,1,1.1378944265298702e-16,8.4320711437581783e-17,4.5241186334384992e-10,9.2645153950990522e-20,5.0673178608511349e-22,1.7677467655643153,19.504155787377908,1,0,1,1,3.124919169186188,3.1249191691858678,3.2018832030189515e-13,3.2018832030189515e-13,7.0949988737008782e-22,1.418999774740176e-21
4,14,1,1.1232510467484801e-16,8.4320711437581783e-17,4.9409720318767627e-10,1.0244695901358272e-19,2.1802453224957423e-22,1.6883427822444526,25.501165327542964,1,0,1,1,2.8504913681196973,2.8504913681194424,2.5490720645393594e-13,2.5490720645393594e-13,1.0781895962316857e-21,3.593965320772287e-22
4,15,1,1.1144387019953853e-16,8.4320711437581783e-17,5.0577746754220495e-10,1.0435629328911057e-19,3.181731935168315e-22,1.8143425798693642,30.568688430681242,1,0,1,1,3.2918240711920763,3.2918240711919249,1.5143442055887135e-13,1.5143442055887135e-13,7.2638869503838381e-22,3.631943475191919e-22
4,16,1,5.9852789262205253e-18,8.4320711437581783e-17,4.9066696879729187e-10,9.9283656918595761e-20,3.7622087176227692e-24,1.6903385842747987,34.618705308480827,1,0,1,1,2.8572298860418606,2.8572298860418566,3.9968028886505635e-15,3.9968028886505635e-15,0,0
